company,grossProfit,incomeBeforeTax,incomeTaxExpense,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,sellingGeneralAdministrative,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,accountsPayable,cash,commonStock,netTangibleAssets,otherCurrentAssets,otherCurrentLiab,propertyPlantEquipment,retainedEarnings,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,esgRiskRating,esgCluster
BRIS.jk,0.153315649867374,0.258459622171476,0.13624091381100728,0.30786329535982215,0.30786329535982215,0.30147808358817535,0.16120275631655878,0.14297770912671562,0.04814031595969648,0.44067662921348316,0.06213163345884022,0.055634702112167075,0.17246698752270725,0.09777927656492728,0.29571183533447687,0.21385273634490534,0.08741491559860086,0.01810028126170759,0.24396592522479887,0.1485886769751655,0.1378025950133767,0.051983623851879095,0.15782210767700955,0.12890359809911744,0.612704918032787,1.0
BRPT.jk,0.12530503978779842,0.2680091343159643,0.18899273104880582,0.26407335370936375,0.26407335370936375,0.30020387359836903,0.22468156191271665,0.04291250934883602,0.1709167806941162,0.24719101123595505,0.19202554389498622,0.009543711928384699,0.13746559122457402,0.4471686743657643,0.20648370497427102,0.06058943197106525,0.06572495320525774,0.24568182199433003,0.2249408424041647,0.0684192896246519,0.09569678635512686,0.012704742178905224,0.04954209294976793,0.1187202987101154,0.3258196721311476,0.3333333333333333
BSDE.jk,0.07893899204244031,0.20954951214448828,0.06832814122533748,0.2548485690469575,0.2548485690469575,0.25805300713557594,0.1417832532887868,0.033210370206874305,0.02338599328274661,0.33333333333333337,0.03397841586651255,0.0008473329915392914,0.08746359651295513,0.06555710787081753,0.31595197255574614,0.0561983391470458,0.20309471502976414,0.04868679300144824,0.3090392806436347,0.0372837368629408,0.09116231465346919,0.009397895877895104,0.018956975001377056,0.16454514596062458,0.12704918032786885,0.0
BTPS.jk,0.06440318302387268,0.21777039651235208,0.07165109034267912,0.27076965823839955,0.27076965823839955,0.2674566768603466,0.11944038421382334,0.028834895691871965,0.008520960318447568,0.4441011985018727,0.014179608372721135,0.008889165322224475,0.015127377496813114,0.022910119893319352,0.24109777015437392,0.007853823636147816,0.006800555370008951,0.0009449946040248942,0.22976810222432562,0.009628405567608585,0.006950697336969548,0.008268728848281892,0.0075056749164345,0.06177868295994568,0.48975409836065587,0.6666666666666667
BULL.jk,0.05050397877984085,0.20645630060203446,0.04649633276220145,0.2615170880800222,0.2615170880800222,0.25963302752293577,0.1225725621215285,0.0017640251055748783,0.008209976365219553,0.39131086142322097,0.014751828242483894,0.00020733186551596218,0.0011434863091303615,0.12431518019537059,0.2353001715265866,0.012131597935676438,0.008849051818269135,0.04823945827764947,0.20544723142451493,0.006893945844025175,0.006691584668303395,0.0017518219916570685,0.004845784327083919,0.05779022403258655,0.27459016393442626,0.3333333333333333
BUMI.jk,0.0496551724137931,0.09736350425576085,0.0660436137071651,0.1108641289247013,0.1108641289247013,0.1210499490316004,0.1054291083733556,0.014414853594603384,0.0670481403159597,0.05992509363295878,0.06442051293789125,0.0029255184660979994,0.006743709716831679,0.8483662649688954,0.19149228130360205,0.015970262952803117,0.215144694137177,0.1405581619016199,0.0,0.03032329393018303,0.017833429420947965,0.015043731025961163,0.03446696372402077,0.0,0.5471311475409837,0.6666666666666667
CLEO.jk,0.039819628647214854,0.19802781814407308,0.047371996104880576,0.25070853014726313,0.25070853014726313,0.24905708460754333,0.10029233660471915,0.0029435008444015963,0.003358626694862545,0.4408944159382023,0.0041829272479657585,4.878517037394552e-05,0.0001508672776857977,0.006167228316968211,0.22433962264150945,2.989555957112339e-05,0.0008490985778917273,0.004657872811554656,0.2115286322763843,0.00025045165195548055,0.0,0.0,0.00012465972244367845,0.040627121520706036,0.42008196721311486,0.6666666666666667
CPIN.jk,0.1229708222811671,0.29354369939796554,0.13935617860851507,0.3537093637121423,0.3537093637121423,0.3437818552497452,0.20275631655878054,0.053185362557971946,0.2312476676203508,0.4179026217228464,0.24180867256434613,0.001361879351381911,0.022294330072145156,0.0037663608456423867,0.29982847341337904,0.04075869018517097,0.023871359105510477,0.08352298461727718,0.3194510175106484,0.018826133728752782,0.042902580114398244,0.004203727541674329,0.0054835782558655295,0.13569246435845211,0.6926229508196723,1.0
CTRA.jk,0.07904509283819627,0.22898069337762092,0.0735202492211838,0.2836899138649625,0.2836899138649625,0.2805810397553517,0.15076216329087494,0.027883705579914934,0.0324667247170046,0.371310861423221,0.04479337140502867,0.0007946056260430513,0.04396186111384668,0.1451648187621475,0.2737564322469983,0.009751908921369125,0.2922645604246192,0.013626934023719924,0.2434453383814482,0.02386002549262224,0.0658988294585193,0.009236586302236074,0.015623052191836816,0.10174813306177867,0.32172131147540983,0.3333333333333333
DMAS.jk,0.05262599469496021,0.22399833921527923,0.05130570411412253,0.2845234787440956,0.2845234787440956,0.28007135575942915,0.12466068072666528,0.003742500538445502,0.006406269436497076,0.4471554612835206,0.013664610489934653,7.097578222992981e-06,0.011460564551294395,0.15085108382581394,0.24020583190394512,0.0009819176489777395,0.0460433206631501,0.001548896481153229,0.21119261713203977,0.0036312382192949695,0.011290834537127608,0.0008242919316176447,0.0007073714482850591,0.06025118805159538,0.2418032786885246,0.3333333333333333
